0 ( 0.786821 , 0.25048 )
1 ( 0.710671 , 0.946668 )
2 ( 0.0192711 , 0.404902 )
3 ( 0.251318 , 0.0227124 )
4 ( 0.520643 , 0.34467 )
5 ( 0.274196 , 0.561032 )
6 ( 0.140039 , 0.543856 )
7 ( 0.521916 , 0.857077 )
8 ( 0.499774 , 0.41937 )
9 ( 0.744281 , 0.249168 )
10 ( 0.239277 , 0.320065 )
11 ( 0.910501 , 0.164833 )
12 ( 0.245533 , 0.19832 )
13 ( 0.715893 , 0.967825 )
14 ( 0.769432 , 0.0807073 )
15 ( 0.459925 , 0.257262 )
16 ( 0.777046 , 0.583883 )
17 ( 0.9503 , 0.4381 )
18 ( 0.322289 , 0.532405 )
19 ( 0.256359 , 0.0455399 )
20 ( 0.504976 , 0.696239 )
21 ( 0.0912189 , 0.90712 )
22 ( 0.0309147 , 0.152036 )
23 ( 0.98152 , 0.620412 )
24 ( 0.298767 , 0.361325 )
25 ( 0.480969 , 0.297847 )
26 ( 0.285187 , 0.924194 )
27 ( 0.628902 , 0.755031 )
28 ( 0.713892 , 0.722758 )
29 ( 0.069837 , 0.486835 )
30 ( 0.0888609 , 0.759622 )
31 ( 0.423817 , 0.596983 )
32 ( 0.0864162 , 0.272961 )
33 ( 0.623808 , 0.222135 )
34 ( 0.225448 , 0.43414 )
35 ( 0.987307 , 0.21099 )
36 ( 0.853215 , 0.284114 )
37 ( 0.836365 , 0.366719 )
38 ( 0.935147 , 0.859905 )
39 ( 0.490911 , 0.0220786 )
40 ( 0.362117 , 0.736445 )
41 ( 0.519371 , 0.422952 )
42 ( 0.0290329 , 0.909242 )
43 ( 0.11218 , 0.980166 )
44 ( 0.687829 , 0.487331 )
45 ( 0.735908 , 0.588669 )
46 ( 0.528452 , 0.455645 )
47 ( 0.828303 , 0.870392 )
48 ( 0.49149 , 0.96953 )
49 ( 0.888796 , 0.138265 )
50 ( 0.436551 , 0.343911 )
51 ( 0.118927 , 0.548245 )
52 ( 0.759026 , 0.0324015 )
53 ( 0.101607 , 0.586928 )
54 ( 0.695038 , 0.791824 )
55 ( 0.849987 , 0.875281 )
56 ( 0.605491 , 0.953564 )
57 ( 0.990865 , 0.867071 )
58 ( 0.644111 , 0.604654 )
59 ( 0.912689 , 0.466998 )
60 ( 0.0791418 , 0.904333 )
61 ( 0.827346 , 0.147311 )
62 ( 0.80717 , 0.66887 )
63 ( 0.138648 , 0.672333 )
64 ( 0.832426 , 0.956864 )
65 ( 0.629748 , 0.355726 )
66 ( 0.323224 , 0.0633181 )
67 ( 0.28054 , 0.256984 )
68 ( 0.0875155 , 0.0736188 )
69 ( 0.100668 , 0.13069 )
70 ( 0.627886 , 0.311976 )
71 ( 0.951291 , 0.972835 )
72 ( 0.201725 , 0.72612 )
73 ( 0.676285 , 0.567179 )
74 ( 0.718358 , 0.210137 )
75 ( 0.746571 , 0.748943 )
76 ( 0.894202 , 0.116882 )
77 ( 0.654266 , 0.0265524 )
78 ( 0.285751 , 0.611837 )
79 ( 0.365701 , 0.281168 )
80 ( 0.71123 , 0.868726 )
81 ( 0.122479 , 0.887004 )
82 ( 0.595384 , 0.795094 )
83 ( 0.567172 , 0.988584 )
84 ( 0.96275 , 0.506296 )
85 ( 0.79339 , 0.719541 )
86 ( 0.402188 , 0.116003 )
87 ( 0.831381 , 0.341087 )
88 ( 0.811923 , 0.236615 )
89 ( 0.934162 , 0.458105 )
90 ( 0.85286 , 0.74979 )
91 ( 0.369665 , 0.644393 )
92 ( 0.5898 , 0.843262 )
93 ( 0.00570613 , 0.186586 )
94 ( 0.297123 , 0.338689 )
95 ( 0.725961 , 0.994564 )
96 ( 0.901857 , 0.767029 )
97 ( 0.128813 , 0.279316 )
98 ( 0.128372 , 0.888838 )
99 ( 0.805795 , 0.400797 )
100 ( 0.527364 , 0.297175 )
101 ( 0.917667 , 0.812785 )
102 ( 0.517831 , 0.600164 )
103 ( 0.833823 , 0.477926 )
104 ( 0.329163 , 0.59225 )
105 ( 0.826142 , 0.467029 )
106 ( 0.266564 , 0.8075 )
107 ( 0.127923 , 0.367725 )
108 ( 0.0195539 , 0.124018 )
109 ( 0.161771 , 0.434842 )
110 ( 0.691681 , 0.0859536 )
111 ( 0.987139 , 0.618904 )
112 ( 0.371176 , 0.236674 )
113 ( 0.158937 , 0.0368732 )
114 ( 0.0994404 , 0.683944 )
115 ( 0.952125 , 0.787105 )
116 ( 0.235788 , 0.36401 )
117 ( 0.362999 , 0.934142 )
118 ( 0.998865 , 0.200986 )
119 ( 0.552795 , 0.697382 )
120 ( 0.692114 , 0.0861154 )
121 ( 0.358345 , 0.286332 )
122 ( 0.09432 , 0.943607 )
123 ( 0.472191 , 0.519763 )
124 ( 0.152076 , 0.387434 )
125 ( 0.0989368 , 0.165289 )
126 ( 0.583937 , 0.473452 )
127 ( 0.649411 , 0.544445 )
128 ( 0.31606 , 0.931878 )
129 ( 0.989908 , 0.777137 )
130 ( 0.225179 , 0.790953 )
131 ( 0.0439639 , 0.384338 )
132 ( 0.66992 , 0.30109 )
133 ( 0.321522 , 0.113724 )
134 ( 0.690941 , 0.33019 )
135 ( 0.798766 , 0.782775 )
136 ( 0.00717771 , 0.751891 )
137 ( 0.399689 , 0.420477 )
138 ( 0.205705 , 0.700266 )
139 ( 0.776293 , 0.141306 )
140 ( 0.170088 , 0.748577 )
141 ( 0.771515 , 0.91358 )
142 ( 0.559647 , 0.125406 )
143 ( 0.756531 , 0.311554 )
144 ( 0.725176 , 0.370268 )
145 ( 0.00443744 , 0.0951238 )
146 ( 0.745415 , 0.602823 )
147 ( 0.815662 , 0.200414 )
148 ( 0.832282 , 0.0555534 )
149 ( 0.129493 , 0.372524 )
150 ( 0.960691 , 0.573825 )
151 ( 0.590795 , 0.523856 )
152 ( 0.0941685 , 0.277405 )
153 ( 0.915303 , 0.569106 )
154 ( 0.104138 , 0.414354 )
155 ( 0.613573 , 0.0742729 )
156 ( 0.367357 , 0.187052 )
157 ( 0.50963 , 0.428071 )
158 ( 0.775391 , 0.0152459 )
159 ( 0.521955 , 0.0561426 )
160 ( 0.0509637 , 0.697087 )
161 ( 0.114006 , 0.0634439 )
162 ( 0.356116 , 0.531008 )
163 ( 0.198587 , 0.636769 )
164 ( 0.293188 , 0.527771 )
165 ( 0.234415 , 0.489904 )
166 ( 0.580879 , 0.188345 )
167 ( 0.314094 , 0.720755 )
168 ( 0.395352 , 0.590133 )
169 ( 0.579444 , 0.937673 )
170 ( 0.740409 , 0.242226 )
171 ( 0.519523 , 0.113886 )
172 ( 0.207918 , 0.633606 )
173 ( 0.140093 , 0.118415 )
174 ( 0.962899 , 0.590951 )
175 ( 0.972132 , 0.802339 )
176 ( 0.880038 , 0.0923789 )
177 ( 0.156734 , 0.979988 )
178 ( 0.128101 , 0.320076 )
179 ( 0.908874 , 0.474761 )
180 ( 0.200951 , 0.810924 )
181 ( 0.521725 , 0.558256 )
182 ( 0.307231 , 0.370185 )
183 ( 0.568274 , 0.728632 )
184 ( 0.654764 , 0.311207 )
185 ( 0.7543 , 0.911216 )
186 ( 0.998629 , 0.893327 )
187 ( 0.779626 , 0.693481 )
188 ( 0.358894 , 0.651893 )
189 ( 0.000327772 , 0.909052 )
190 ( 0.559026 , 0.0390328 )
191 ( 0.349181 , 0.535271 )
192 ( 0.862113 , 0.409707 )
193 ( 0.95554 , 0.492911 )
194 ( 0.841278 , 0.0163063 )
195 ( 0.746042 , 0.168979 )
196 ( 0.254931 , 0.781072 )
197 ( 0.971619 , 0.404979 )
198 ( 0.198655 , 0.955518 )
199 ( 0.832431 , 0.257456 )
200 ( 0.608284 , 0.256963 )
201 ( 0.900794 , 0.532793 )
202 ( 0.487119 , 0.790322 )
203 ( 0.596801 , 0.878028 )
204 ( 0.581417 , 0.249421 )
205 ( 0.0781677 , 0.102809 )
206 ( 0.359711 , 0.401213 )
207 ( 0.871441 , 0.596828 )
